ID_ISIN,NAME,Date,ID,CHG_PCT_1D,PX_HIGH,PX_LOW,PX_OPEN,PX_VOLUME
GB0008706128,LLOYDS BANKING GROUP PLC,07/11/2019,LLOY LN Equity,-0.3658,57.87,57.02,57.49,106333495
GB0008706128,LLOYDS BANKING GROUP PLC,08/11/2019,LLOY LN Equity,-1.6084,57.08,56.26,57.08,91038256
GB0008706128,LLOYDS BANKING GROUP PLC,11/11/2019,LLOY LN Equity,4.0156,58.96,55.46,55.96,208136937
GB0008706128,LLOYDS BANKING GROUP PLC,12/11/2019,LLOY LN Equity,1.7936,59.61,58.21,58.7,170995460
GB0008706128,LLOYDS BANKING GROUP PLC,13/11/2019,LLOY LN Equity,0,59.7,58.57,59.12,136006954
GB0008706128,LLOYDS BANKING GROUP PLC,14/11/2019,LLOY LN Equity,0.1342,59.96,59.02,59.61,15862035
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,23/08/2019,LSE LN Equity,-0.0877,6906,6832,6868,254364
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,26/08/2019,LSE LN Equity,-0.0877,6906,6832,6868,254364
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,27/08/2019,LSE LN Equity,0.1171,6902,6784,6900,775308
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,28/08/2019,LSE LN Equity,0.5848,6904,6804,6852,366501
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,29/08/2019,LSE LN Equity,1.3081,6982,6876,6894,394453
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,30/08/2019,LSE LN Equity,-0.2296,7032,6932,6936,553187
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,02/09/2019,LSE LN Equity,0.9491,7040,6932,6936,481658
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,03/09/2019,LSE LN Equity,0.1994,7058,6956,7020,314409
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,04/09/2019,LSE LN Equity,1.4501,7142,6948,7100,673905
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,05/09/2019,LSE LN Equity,1.009,7316,7152,7216,620136
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,06/09/2019,LSE LN Equity,1.5816,7370,7216,7228,560345
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,09/09/2019,LSE LN Equity,-3.3051,7420,7080,7392,846299
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,10/09/2019,LSE LN Equity,-3.8983,7078,6732,7070,1479673
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,11/09/2019,LSE LN Equity,5.9083,7922,6690,6818,3730241
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,12/09/2019,LSE LN Equity,0.6384,7296,7158,7250,946793
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,13/09/2019,LSE LN Equity,3.6128,7566,7198,7260,1832671
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,16/09/2019,LSE LN Equity,-1.4639,7434,7274,7434,1055689
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,17/09/2019,LSE LN Equity,-0.7293,7432,7330,7376,643960
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,18/09/2019,LSE LN Equity,-1.2789,7344,7256,7340,581391
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,19/09/2019,LSE LN Equity,-0.1378,7256,7150,7230,560896
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,20/09/2019,LSE LN Equity,0.0552,7264,7168,7200,1280973
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,23/09/2019,LSE LN Equity,0.7724,7334,7202,7258,348167
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,24/09/2019,LSE LN Equity,0.876,7400,7288,7320,402627
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,25/09/2019,LSE LN Equity,-1.5739,7330,7174,7296,653337
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,26/09/2019,LSE LN Equity,1.3234,7350,7266,7268,716519
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,27/09/2019,LSE LN Equity,0.1361,7510,7304,7406,535542
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,30/09/2019,LSE LN Equity,-0.7065,7400,7308,7324,521087
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,01/10/2019,LSE LN Equity,-0.7115,7378,7232,7378,572747
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,02/10/2019,LSE LN Equity,-3.4179,7238,6984,7220,714527
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,03/10/2019,LSE LN Equity,2.2831,7180,6996,7008,864251
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,04/10/2019,LSE LN Equity,2.9855,7394,7172,7310,856464
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,07/10/2019,LSE LN Equity,0.9483,7500,7362,7400,769408
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,08/10/2019,LSE LN Equity,-5.7971,7132,6950,7024,1550789
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,09/10/2019,LSE LN Equity,3.2479,7248,7028,7052,721890
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,10/10/2019,LSE LN Equity,0.5519,7288,7088,7226,873021
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,11/10/2019,LSE LN Equity,0.1647,7326,7182,7270,613948
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,14/10/2019,LSE LN Equity,-0.0274,7356,7244,7304,283641
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,15/10/2019,LSE LN Equity,-1.2332,7410,7204,7300,584638
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,16/10/2019,LSE LN Equity,-2.7469,7210,6996,7210,643288
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,17/10/2019,LSE LN Equity,0.485,7082,6920,7064,681678
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,18/10/2019,LSE LN Equity,0.8234,7236,7066,7100,489143
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,21/10/2019,LSE LN Equity,-0.3943,7162,7008,7142,484219
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,22/10/2019,LSE LN Equity,0.8482,7134,6946,7054,745266
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,23/10/2019,LSE LN Equity,-2.7754,7140,6912,7098,922705
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,24/10/2019,LSE LN Equity,0.7785,7080,6942,6994,778953
